Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202",0603,2,10u,
"C203, C205, C403, C406",0603,4,4.7u,
C204,0603,1,2.2u,
"C206, C502, C538, C543",0603,4,1n,
"C401, C402, C405, C503, C504, C505, C521, C527, C601, C605, C611, C701, C703, C706, C801, C803, C806, C901, C903, C906, L590",0603,21,100n,
C404,0603,1,10n,
C501,0603,1,0.1u,
C507,0603,1,220pF,
"C508, C530",0603,2,47pF,
"C526, C608, C613, C705, C707, C805, C807, C905, C907",0603,9,47p,
C528,0603,1,100pF,
"C529, C534",0603,2,27pF,
"C531, C532, C539, C540, C541",0603,5,4.7pF,
C533,0603,1,?,
C535,0603,1,10nF,
C536,0603,1,12p,
C542,0603,1,1nF,
C590,0603,1,5.6p,
"C603, C607, C702, C704, C802, C804, C902, C904",1206,8,100u,
"D201, D202, D203, D401",1206,4,LED,
"D301, D302, D303, D304",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N457,
"D601, D701, D801, D901",Osram_DIL2_4.3x4.65mm_P5.08mm,4,BPW34,
"H101, H102, H103, H104",MountingHole_3.8mm,4,MountingHole,
"H105, H106, H107, H108, H109, H110, H111, H112, H113, H114, H115, H116",MountingHole_2mm,12,MountingHole,
J101,PinHeader_2x25_P2.00mm_Horizontal,1,LPC-50M2LG,
"J201, J202, J203, J403",PinHeader_1x02_P1.27mm_Vertical,4,Conn_01x02,
"J402, J501",PinHeader_1x08_P1.27mm_Vertical,2,Conn_01x08,
J404,PinHeader_2x05_P1.27mm_Vertical_SMD,1,MHDR2X5,
J502,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,
J503,SMA_Amphenol_901-143_Horizontal,1,60611002111501,
"JP201, JP202",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
"JP203, JP601, JP701, JP801, JP901",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,Jumper_2_Bridged,
JP301,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
JP401,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,Jumper_3_Open,
L201,0603,1,6.8uH,
L501,0603,1,100nH,
"L508, L509, L510, L513",0603,4,39nH,
L511,0603,1,82nH,
"Q201, Q202",SOT-23,2,AO3420,
Q501,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,TXKTPCSANF-32,
"Q601, Q701, Q801, Q901",SOT-23,4,MMBF4392LT1G,
"R201, R202",1206,2,"0.025, PE1206FRE470R025L",
"R203, R410, R515",0603,3,1k,
R204,0603,1,2.2k,
"R205, R403, R408, R409, R612, R618, R707, R710, R807, R810, R907, R910",0603,12,10k,
"R301, R401, R402",0603,3,3.3k,
"R302, R312, R314, R316",0603,4,11k,
"R303, R313, R315, R317",0603,4,110k,
"R304, R306, R308, R310, R601, R602, R701, R702, R801, R802, R901, R902",0603,12,10M,
"R305, R307, R309, R311",0603,4,3.6M,
"R605, R703, R803, R903",0603,4,1M,
"R607, R704, R804, R904",0603,4,4k7,
"R609, R705, R805, R905",0603,4,2k,
"R611, R617, R706, R709, R806, R809, R906, R909",0603,8,330k,
"R615, R708, R808, R908",0603,4,100R,
SW401,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,
"TP301, TP302, TP303, TP304, TP401",TestPoint_Pad_D1.5mm,5,TestPoint,
TP501,TestPoint_Pad_D1.0mm,1,TestPoint,
"U201, U202",TSOT-23-8_HandSoldering,2,LTC4361-2,
U203,Converter_DCDC_Gaptec_0.1S7B_3UP_THT,1,0.1S7B_0512S3UP,
"U301, U302, U303, U304",SOT-23-6_Handsoldering,4,VT03,
U305,TSSOP-14_4.4x5mm_P0.65mm,1,TL974IPWR,
U306,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADG734,
U307,SOIC-8_3.9x4.9mm_P1.27mm,1,LM335DT,
"U308, U309, U310, U311",SOIC-8_3.9x4.9mm_P1.27mm,4,LM334M,
U401,LQFP-32_7x7mm_P0.8mm,1,STM32G031K8T6,C432203
U403,U-PDFN-8_6x8mm_P1.27mm,1,MT29F2G01ABAGDWB-IT-G_TR,C410863
U501,QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm,1,SX1276,
U505,SOT-363_SC-70-6_Handsoldering,1,PE4259,C470892
"U601, U701, U801, U901",SOIC-8_3.9x4.9mm_P1.27mm,4,LM358DR,LM358DR
Y401,OSC_ECS-2520SMV-080-FN-TR,1,ECS-2520SMV-080-FN-TR,C2451460
