Designator,Mid X,Mid Y,Rotation,Layer
C201,92.99,-118.6375,270.0,top
C202,101.94,-118.1375,90.0,top
C203,60.0,-107.3875,90.0,top
C204,60.0,-95.6375,270.0,top
C205,62.8875,-102.25,0.0,top
C206,60.25,-100.25,270.0,top
C401,95.548,-81.671,0.0,top
C402,97.072,-89.6505,90.0,top
C403,94.532,-89.6505,90.0,top
C404,105.2,-90.053,270.0,top
C405,102.406,-102.2235,90.0,top
C406,104.946,-102.2235,90.0,top
C501,113.5375,-69.1,0.0,top
C502,119.0,-73.5,0.0,top
C503,119.1375,-69.775,180.0,top
C504,119.1375,-67.775,180.0,top
C505,119.1375,-71.775,180.0,top
C507,115.0,-85.6375,270.0,top
C508,117.0,-85.6425,270.0,top
C521,128.0,-75.6,0.0,top
C526,125.0,-64.6375,90.0,top
C527,126.6375,-64.6375,90.0,top
C528,116.1375,-82.775,0.0,top
C529,114.1375,-78.775,180.0,top
C530,121.0,-84.4125,90.0,top
C531,122.1375,-81.775,0.0,top
C532,125.0,-85.6375,90.0,top
C533,126.1375,-80.5,0.0,top
C534,127.0,-85.6375,90.0,top
C535,113.0,-85.6425,270.0,top
C536,122.6375,-78.275,0.0,top
C538,126.1375,-78.275,0.0,top
C539,130.1375,-83.5,0.0,top
C540,130.1375,-85.625,0.0,top
C541,131.5,-90.5125,90.0,top
C542,131.0325,-71.415,0.0,top
C543,131.1375,-77.275,0.0,top
C590,119.1375,-77.8,0.0,top
C601,68.4775,-61.46,0.0,top
C603,62.84,-66.3975,270.0,top
C605,64.4775,-59.46,0.0,top
C607,69.2775,-63.96,0.0,top
C608,72.84,-63.5975,270.0,top
C611,84.84,-63.185,90.0,top
C613,82.84,-68.8225,90.0,top
C701,94.6375,-57.46,0.0,top
C702,89.0,-62.3975,270.0,top
C703,90.6375,-55.46,0.0,top
C704,95.4375,-59.96,0.0,top
C705,99.0,-59.5975,270.0,top
C706,111.0,-59.185,90.0,top
C707,109.0,-64.8225,90.0,top
C801,66.5,-115.3625,90.0,top
