Designator,Mid X,Mid Y,Rotation,Layer
C1001,91.3395,-78.359,180.0,top
C1002,71.6545,-63.373,180.0,top
C1003,71.6545,-61.849,180.0,top
C1004,83.9735,-66.675,0.0,top
C1005,71.5805,-65.151,180.0,top
C1101,62.5105,-59.69,0.0,top
C1102,117.702,-61.3215,270.0,top
C1103,108.8136,-110.1344,0.0,top
C1104,59.7165,-123.444,0.0,top
C1105,82.677,-94.1335,90.0,top
C201,86.425,-115.287,270.0,top
C202,94.679,-115.2155,90.0,top
C203,60.0,-107.3875,90.0,top
C204,60.0,-95.4532,270.0,top
C205,64.262,-101.092,0.0,top
C206,60.25,-100.25,270.0,top
C207,100.584,-107.5955,90.0,top
C208,87.2755,-109.982,180.0,top
C401,90.7045,-88.9,0.0,top
C402,96.393,-89.6505,90.0,top
C403,94.532,-89.6505,90.0,top
C405,87.1485,-95.25,180.0,top
C406,89.662,-96.8005,90.0,top
C502,100.6867,-66.1416,0.0,top
C503,78.1315,-73.279,0.0,top
C504,94.0065,-66.04,180.0,top
C505,83.9735,-72.928,180.0,top
C506,83.9735,-75.438,0.0,top
C507,89.9425,-71.448,0.0,top
C508,87.8815,-74.0145,270.0,top
C509,78.7665,-74.93,0.0,top
C510,90.932,-67.2835,90.0,top
C511,92.583,-74.2685,90.0,top
C512,127.0,-100.9915,90.0,top
C601,70.5125,-51.253,0.0,top
C603,65.5705,-56.007,0.0,top
C605,60.9095,-55.626,0.0,top
C607,71.3125,-53.753,0.0,top
C608,74.875,-53.3905,270.0,top
C611,86.875,-55.1445,270.0,top
C613,84.875,-58.6155,90.0,top
C701,94.7065,-52.705,0.0,top
C702,91.313,-59.4745,270.0,top
C703,90.668,-53.129403,0.0,top
C704,95.5065,-54.804,0.0,top
C705,99.0385,-56.589097,270.0,top
C706,99.492,-52.705,180.0,top
C707,105.1295,-54.229,180.0,top
C801,62.3715,-115.3625,90.0,top
C802,70.6745,-118.491,0.0,top
C803,61.6335,-111.6865,90.0,top
C804,64.8715,-114.5625,90.0,top
C805,64.509,-111.0,0.0,top
C806,68.225,-99.0,180.0,top
C807,76.962,-99.3405,270.0,top
C901,90.1965,-102.997,0.0,top
C902,82.066,-104.394,0.0,top
C903,75.6365,-102.7565,90.0,top
C904,87.654,-105.029,0.0,top
C905,91.2165,-105.8175,270.0,top
C906,102.108,-107.5955,90.0,top
C907,108.358,-108.458,180.0,top
D1001,80.8735,-50.927,0.0,top
D1002,100.0505,-50.927,180.0,top
D1003,88.138,-51.7145,90.0,top
D1004,74.3205,-50.927,0.0,top
D201,75.799,-112.83,0.0,top
D202,75.799,-115.555,0.0,top
D203,75.799,-118.11,0.0,top
D301,64.845,-74.16,180.0,top
D302,73.225,-78.66,180.0,top
D303,68.0,-87.5,180.0,top
D304,86.0,-89.96,180.0,top
D401,75.804,-110.315,0.0,top
D501,94.742,-76.782,0.0,top
D502,94.742,-74.115,0.0,top
D601,53.721,-66.167,0.0,top
D701,111.86,-57.866,90.0,top
D801,51.816,-113.538,0.0,top
D901,114.1735,-116.332,90.0,top
J1001,92.075,-63.754,90.0,top
J101,65.25,-121.7,270.0,bottom
J102,111.825,-111.854,180.0,top
J103,114.4,-57.573,180.0,top
J104,58.293,-64.2,90.0,top
J201,83.002,-114.1495,90.0,top
J202,83.002,-116.6495,90.0,top
J203,83.002,-119.1495,90.0,top
J403,98.156,-82.931,90.0,top
J501,123.19,-108.204,180.0,top
J502,127.889,-71.247,0.0,top
JP301,67.818,-75.184,90.0,top
L201,62.0,-105.125,90.0,top
Q201,91.3625,-111.1995,0.0,top
Q202,100.0995,-111.2075,0.0,top
Q203,83.693,-110.871,0.0,top
Q204,95.758,-111.633,0.0,top
Q501,77.6455,-70.673,0.0,top
Q502,70.5635,-68.072,0.0,top
Q601,77.0105,-59.883,0.0,top
Q701,101.0435,-63.119,0.0,top
Q801,71.4215,-109.0625,90.0,top
Q901,81.6125,-107.442,0.0,top
R1001,84.0505,-50.927,180.0,top
R1002,96.7505,-50.927,0.0,top
R1003,86.627,-51.818,90.0,top
R1004,68.199,-62.7615,90.0,top
R1005,66.675,-62.738,270.0,top
R1006,77.5735,-50.927,180.0,top
R201,90.392,-118.1495,0.0,top
R202,98.629,-118.1575,0.0,top
R203,80.02,-114.0245,180.0,top
R204,80.02,-116.6495,180.0,top
R205,80.02,-119.1045,180.0,top
R206,118.237,-122.555,0.0,top
R207,118.237,-124.079,0.0,top
R302,53.8125,-74.66,0.0,top
R303,53.725,-72.66,0.0,top
R304,76.5875,-79.45,180.0,top
R305,76.5875,-81.46,0.0,top
R306,80.0875,-85.46,180.0,top
R307,80.0875,-87.44,0.0,top
R308,84.5875,-85.49,180.0,top
R309,84.5875,-87.46,0.0,top
R310,84.5875,-77.724,180.0,top
R311,80.5875,-77.724,180.0,top
R312,62.3125,-79.16,0.0,top
R313,62.3125,-77.16,0.0,top
R314,53.5875,-84.328,0.0,top
R315,53.5875,-82.77,0.0,top
R316,62.3125,-92.46,0.0,top
R317,62.3125,-90.46,0.0,top
R401,99.695,-86.4635,90.0,top
R402,98.171,-86.4635,270.0,top
R403,80.0215,-112.4425,180.0,top
R408,89.662,-100.3065,90.0,top
R409,78.613,-99.2905,270.0,top
R501,80.488,-70.7815,270.0,top
R502,67.818,-71.4775,270.0,top
R503,74.9,-70.7015,270.0,top
R504,67.818,-68.0955,270.0,top
R505,73.376,-70.7015,270.0,top
R506,101.4495,-70.813,0.0,top
R507,101.4495,-69.259,180.0,top
R508,101.4495,-67.765,0.0,top
R509,74.7795,-73.279,180.0,top
R510,86.5105,-69.797,0.0,top
R511,89.408,-73.988,90.0,top
R512,88.3685,-68.146,0.0,top
R513,89.8925,-69.797,180.0,top
R514,83.0755,-68.209,0.0,top
R515,83.0345,-69.797,180.0,top
R516,90.932,-73.9645,270.0,top
R601,74.073,-58.9045,270.0,top
R602,72.461,-58.9045,90.0,top
R605,62.342,-52.8955,90.0,top
R607,73.9625,-56.253,0.0,top
R609,63.842,-52.8955,270.0,top
R611,80.7875,-59.253,0.0,top
R612,59.342,-52.8955,90.0,top
R615,66.9295,-51.983,180.0,top
R617,86.875,-58.6155,270.0,top
R618,84.875,-54.8405,270.0,top
R701,98.2095,-61.865097,270.0,top
R702,96.6855,-61.912097,90.0,top
R703,90.618,-54.629403,0.0,top
R704,98.126,-59.451597,0.0,top
R705,90.618,-56.129403,180.0,top
R706,104.951,-62.451597,0.0,top
R707,90.618,-51.629403,0.0,top
R708,94.615,-60.4285,90.0,top
R709,105.1295,-52.229,0.0,top
R710,101.5492,-54.229,0.0,top
R801,71.459,-112.0,0.0,top
R802,71.459,-114.0,180.0,top
R803,61.9355,-118.7685,90.0,top
R804,67.3715,-111.9125,90.0,top
R805,63.4355,-118.7685,270.0,top
R806,74.041,-106.4025,90.0,top
R807,60.1335,-111.7365,90.0,top
R808,66.459,-118.5,180.0,top
R809,76.5575,-96.774,0.0,top
R810,70.0875,-101.0,0.0,top
R901,78.7375,-106.4495,270.0,top
R902,77.216,-106.4495,90.0,top
R903,77.1365,-102.8065,90.0,top
R904,90.3205,-108.331,0.0,top
R905,78.6365,-102.8065,270.0,top
R906,96.0628,-109.1692,0.0,top
