Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C601, C701",0603,4,10u,
"C203, C204",0603,2,1u,
"C205, C206, C302",0603,3,4.7u,
C208,0603,1,2.2u,
"C301, C303, C304, C305, C401, C402, C404, C405, C406, C407, C501, C502, C503, C504, C505",0603,15,100n,
C403,0603,1,10n,
"C602, C603, C702, C703",0603,4,0.1u,
"C604, C605, C704, C705",0603,4,0.01u,
"D201, D202, D203, D301, D304, D_RX301, D_TX301",0603,7,LED,C93128
"D302, D303",0603,2,LED,C375577
"D801, D802, D901, D902",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N457,
"H101, H102, H103, H104",MountingHole_3.8mm,4,MountingHole,
H105,AlbertaSat_Logo_25x20mm,1,Logo,
H106,CTS_Logo_50x25mm,1,Logo,
"IC601, IC701",TCD1103GFG8ZAA2,2,"TCD1103GFG_8Z,AA2_",
"J101, J102, J103",Laird_Technologies_BMI-S-101_13.66x12.70mm,3,RFShield_OnePiece,
J104,PinHeader_2x25_P2.00mm_Horizontal,1,LPC-50M2LG,
J401,SMA_Amphenol_901-143_Horizontal_Modified,1,60611002111501,
JP201,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L201,0603,1,6.8uH,
"Q201, Q202",SOT-23,2,2N7002,C3290044
"Q203, Q204",SOT-23,2,AO3420,
Q401,SOT-23,1,BC847,C475630
"Q601, Q701",SOT-23,2,2SA1015,C5189099
"R201, R202, R802, R804, R902, R904",0603,6,110k,
R203,1206,1,0.51,C104948
R204,1206,1,0.075,C171394
"R205, R501, R502",0603,3,3k3,
R206,0603,1,5.1k,
R207,0603,1,51k,
"R301, R302, R305, R306, R309, R310, R602, R702",0603,8,2k2,
"R401, R404",0603,2,470,
R402,0603,1,10k,
"R403, R805, R806, R807, R808, R905, R906, R907, R908",0603,9,0,
"R405, R408",1206,2,10k,
"R407, R410, R411",0603,3,100k,
R412,0603,1,22k,
"R601, R603, R701, R703",0603,4,150,
"R801, R803, R901, R903",0603,4,11k,
"R809, R811, R909, R911",0603,4,10M,
"R810, R812, R910, R912",0603,4,3.6M,
"TP201, TP202",TestPoint_Pad_D1.5mm,2,TestPoint,
"U201, U202",TSOT-23-8_HandSoldering,2,LTC4361-2,
U203,Converter_DCDC_Gaptec_0.1S7B_3UP_THT,1,0.1S7B_0512S3UP,
U301,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U401,DORJI_DRA818V,1,DRA818V,
"U501, U502, U503, U504, U505",MSOP-8_3x3mm_P0.65mm,5,STDS75DS2F,C283289
"U601, U701",SOIC-14_3.9x8.7mm_P1.27mm,2,74HC04,C86613
"U801, U802, U901, U902",SOIC-8_3.9x4.9mm_P1.27mm,4,LM334M,C140388
"U803, U903",MSOP-10_3x3mm_P0.5mm,2,ADG884xRM,C143911
"U804, U805, U904, U905",SOT-23-6_Handsoldering,4,VT03,
"U806, U906",SOIC-8_3.9x4.9mm_P1.27mm,2,TL972IDR,C46127
